,0,1
869,1755,169
870,567,169
871,1945,169
872,1764,169
873,58,168
874,729,168
875,1803,168
876,703,168
877,1457,168
878,329,168
879,629,168
880,300,168
881,221,168
882,1472,168
883,455,168
884,1894,168
885,1694,168
886,809,167
887,263,167
888,1697,167
889,1867,167
890,753,167
891,420,167
892,48,167
893,913,167
894,1182,167
895,421,167
896,30,167
897,44,166
898,265,166
899,404,166
900,2011,166
901,417,166
902,513,166
903,1391,165
904,234,165
905,1058,165
906,696,165
907,249,165
908,256,165
909,1504,165
910,1724,165
911,1433,165
912,843,165
913,1852,164
914,844,164
915,1935,164
916,396,164
917,112,164
918,1199,164
919,1238,164
920,433,164
921,360,164
922,575,164
923,1269,164
924,412,163
925,1564,163
926,1350,163
927,1234,163
928,1702,163
929,1266,163
930,1958,163
931,726,163
932,704,163
933,264,163
934,1021,163
935,2027,162
936,2022,162
937,721,162
938,1476,162
939,758,162
940,1596,162
941,655,162
942,357,162
943,858,162
944,1317,161
945,332,161
946,684,161
947,1487,161
948,1665,161
949,1645,161
950,745,161
951,1337,161
952,1524,161
953,1109,160
954,201,160
955,1620,160
956,1654,160
957,592,160
958,2012,160
959,1830,160
960,335,160
961,1635,159
962,912,159
963,1661,159
964,1098,159
965,178,159
966,229,159
967,1417,158
968,947,158
969,610,158
970,869,158
971,415,158
972,509,158
973,1775,158
974,799,158
975,1016,157
976,817,157
977,1139,157
978,780,157
979,334,157
980,1069,157
981,487,157
982,1643,157
983,1861,157
984,954,157
985,319,157
986,1652,157
987,340,157
988,1258,156
989,137,156
990,472,156
991,1474,156
992,1029,156
993,1333,156
994,1843,156
995,446,156
996,1096,155
997,255,155
998,1481,155
999,967,155
1000,1414,155
1001,393,155
1002,1896,154
1003,1107,154
1004,1513,154
1005,1122,154
1006,1247,154
1007,244,154
1008,1602,154
1009,1170,154
1010,361,154
1011,926,154
1012,754,153
1013,1054,153
1014,1541,153
1015,118,153
1016,2002,153
1017,851,153
1018,429,153
1019,1334,153
1020,712,153
1021,1618,153
1022,1686,153
1023,372,153
1024,379,152
1025,1445,152
1026,612,152
1027,1022,152
1028,1437,152
1029,1281,152
1030,621,152
1031,85,151
1032,355,151
1033,773,151
1034,1848,151
1035,105,151
1036,850,151
1037,62,151
1038,1597,151
1039,257,150
1040,413,150
1041,1510,150
1042,1070,150
1043,588,150
1044,1821,150
1045,542,150
1046,1315,150
1047,1073,150
1048,464,149
1049,66,149
1050,180,149
1051,574,149
1052,414,149
1053,153,149
1054,1974,149
1055,1171,149
1056,1326,149
1057,142,149
1058,1707,148
1059,378,148
1060,1741,148
1061,783,148
1062,1325,148
1063,1936,148
1064,1537,147
1065,859,147
1066,866,147
1067,220,147
1068,613,147
1069,275,146
1070,1282,146
1071,544,146
1072,943,146
1073,952,146
1074,1361,146
1075,410,146
1076,1480,146
1077,1637,146
1078,1987,146
1079,1779,146
1080,897,146
1081,1783,145
1082,1611,145
1083,1335,145
1084,956,145
1085,863,145
1086,1253,145
1087,2037,145
1088,1905,145
1089,1568,145
1090,1465,144
1091,2038,144
1092,243,144
1093,1617,144
1094,444,143
1095,1356,143
1096,882,143
1097,1424,143
1098,1900,143
1099,1492,143
1100,1060,143
1101,1323,142
1102,1847,142
1103,1044,142
1104,875,142
1105,2047,142
1106,511,142
1107,1469,142
1108,1569,142
1109,140,142
1110,1078,142
1111,601,142
1112,944,142
1113,846,142
1114,735,142
1115,1500,142
1116,1236,141
1117,354,141
1118,1631,141
1119,1718,141
1120,161,141
1121,139,141
1122,459,141
1123,1693,141
1124,400,141
1125,1832,141
1126,383,141
1127,1422,141
1128,406,140
1129,1284,140
1130,908,140
1131,1392,140
1132,93,140
1133,856,140
1134,1427,140
1135,918,140
1136,1536,140
1137,134,140
1138,593,139
1139,1192,139
1140,312,139
1141,1512,139
1142,1092,139
1143,1877,139
1144,1897,139
1145,311,139
1146,1214,139
1147,1047,139
1148,1039,139
1149,1529,138
1150,1304,138
1151,1634,138
1152,701,138
1153,1612,138
1154,1406,137
1155,1297,137
1156,1946,137
1157,1532,137
1158,878,137
1159,1168,137
1160,1911,137
1161,1629,137
1162,2042,137
1163,1833,137
1164,165,137
1165,917,137
1166,1363,136
1167,854,136
1168,1994,136
1169,130,136
1170,594,136
1171,842,136
1172,254,136
1173,222,135
1174,1303,135
1175,1410,135
1176,1368,135
1177,227,135
1178,1080,135
1179,304,135
1180,639,135
1181,524,135
1182,810,135
1183,1858,135
1184,1308,134
1185,692,134
1186,723,134
1187,14,134
1188,768,134
1189,1581,134
1190,1533,134
1191,663,134
1192,1454,134
1193,1318,133
1194,664,133
1195,1887,133
1196,2028,133
1197,1495,133
1198,923,133
1199,1411,133
1200,831,133
1201,1515,133
1202,1486,133
1203,121,133
1204,1816,133
1205,870,133
1206,1288,133
1207,1002,132
1208,219,132
1209,1052,132
1210,283,132
1211,23,132
1212,1688,132
1213,777,131
1214,579,131
1215,520,131
1216,940,131
1217,368,131
1218,292,131
1219,484,131
1220,1376,131
1221,1201,130
1222,1132,130
1223,336,130
1224,1729,130
1225,812,130
1226,12,130
1227,1244,130
1228,1796,130
1229,1942,130
1230,1789,130
1231,99,130
1232,1978,130
1233,318,129
1234,81,129
1235,660,129
1236,1518,129
1237,39,129
1238,366,129
1239,371,129
1240,1399,129
1241,1835,129
1242,1232,129
1243,937,129
1244,1726,129
1245,881,129
1246,968,128
1247,1663,128
1248,849,128
1249,479,128
1250,31,128
1251,1793,128
1252,280,128
1253,1701,128
1254,169,128
1255,1462,128
1256,77,128
1257,36,128
1258,1203,128
1259,1751,127
1260,92,127
1261,1019,127
1262,2013,127
1263,1692,127
1264,662,127
1265,1272,127
1266,1901,127
1267,1175,127
1268,291,127
1269,796,127
1270,877,127
1271,1715,126
1272,1025,126
1273,246,126
1274,177,126
1275,1237,126
1276,533,125
1277,1695,125
1278,1801,125
1279,1929,125
1280,609,125
1281,385,125
1282,531,125
1283,1562,125
1284,171,124
1285,297,124
1286,1609,124
1287,964,124
1288,1063,124
1289,453,124
1290,1249,124
1291,1705,124
1292,2015,124
1293,1439,124
1294,1167,124
1295,1554,123
1296,216,123
1297,463,123
1298,1126,123
1299,653,123
1300,331,123
1301,1647,123
1302,690,123
1303,445,123
1304,985,123
1305,423,123
1306,1186,123
1307,1736,122
1308,1331,122
1309,136,122
1310,1519,122
1311,902,122
1312,834,122
1313,1218,122
1314,879,122
1315,1864,122
1316,1761,122
1317,689,122
1318,1814,121
1319,1943,121
1320,781,121
1321,1854,121
1322,741,121
1323,1699,120
1324,2007,120
1325,1973,120
1326,13,120
1327,1531,120
1328,829,120
1329,1927,120
1330,359,120
1331,1227,120
1332,107,120
1333,381,120
1334,1188,120
1335,1231,119
1336,1101,119
1337,1893,119
1338,478,119
1339,765,119
1340,1550,119
1341,979,119
1342,279,118
1343,1575,118
1344,516,118
1345,1158,118
1346,1739,118
1347,1032,118
1348,350,118
1349,447,118
1350,677,118
1351,63,118
1352,1658,117
1353,1065,117
1354,1626,117
1355,129,117
1356,734,117
1357,147,117
1358,1267,117
1359,172,116
1360,426,116
1361,1294,116
1362,166,116
1363,448,116
1364,1183,116
1365,144,116
1366,1538,116
1367,904,116
1368,1301,116
1369,1831,116
1370,1866,116
1371,128,116
1372,1999,116
1373,425,116
1374,1766,116
1375,56,115
1376,1891,115
1377,64,115
1378,1152,115
1379,890,115
1380,1426,115
1381,1528,115
1382,239,114
1383,986,114
1384,549,114
1385,1918,114
1386,752,114
1387,1299,114
1388,457,114
1389,1998,114
1390,841,114
1391,259,114
1392,695,114
1393,1884,114
1394,1546,114
1395,1037,114
1396,1717,114
1397,1387,113
1398,1176,113
1399,1202,113
1400,607,113
1401,70,113
1402,1760,113
1403,1463,113
1404,742,112
1405,929,112
1406,1954,112
1407,436,112
1408,1910,112
1409,732,112
1410,29,112
1411,1794,112
1412,1749,112
1413,1542,111
1414,1871,111
1415,1985,111
1416,1995,111
1417,367,111
1418,1291,111
1419,1819,111
1420,1482,111
1421,274,110
1422,1086,110
1423,1001,110
1424,1045,110
1425,1909,110
1426,245,110
1427,686,110
1428,1074,110
1429,1615,110
1430,369,109
1431,1161,109
1432,1104,109
1433,1489,109
1434,1493,109
1435,1458,109
1436,54,109
1437,989,109
1438,580,109
1439,156,108
1440,1302,108
1441,320,108
1442,494,108
1443,1055,108
1444,606,108
1445,1111,108
1446,591,108
1447,458,108
1448,1319,107
1449,1050,107
1450,419,107
1451,175,107
1452,1878,107
1453,1514,107
1454,1049,107
1455,737,107
1456,120,107
1457,301,107
1458,997,107
1459,1309,107
1460,1649,107
1461,699,107
1462,1619,107
1463,848,106
1464,861,106
1465,1082,106
1466,1324,106
1467,832,106
1468,1860,105
1469,1036,105
1470,1540,105
1471,1184,105
1472,1625,105
1473,1365,105
1474,261,105
1475,953,105
1476,1733,105
1477,915,105
1478,391,104
1479,1587,104
1480,517,104
1481,1727,104
1482,763,104
1483,785,104
1484,1268,104
1485,623,104
1486,1511,104
1487,363,104
1488,1000,104
1489,710,104
1490,24,104
1491,43,104
1492,611,104
1493,409,104
1494,814,104
1495,26,104
1496,672,103
1497,1585,103
1498,1245,103
1499,1788,103
1500,1195,103
1501,965,103
1502,60,103
1503,119,103
1504,53,103
1505,795,103
1506,122,103
1507,980,102
1508,1455,102
1509,1802,102
1510,1075,102
1511,1491,102
1512,1959,102
1513,1570,102
1514,709,102
1515,75,102
1516,1880,102
1517,1565,102
1518,681,102
1519,1296,102
1520,197,102
1521,1127,102
1522,1578,102
1523,1579,101
1524,162,101
1525,900,101
1526,1348,101
1527,1061,101
1528,1430,101
1529,1279,101
1530,830,101
1531,1509,101
1532,1576,101
1533,1986,101
1534,1613,101
1535,90,100
1536,1396,100
1537,1242,100
1538,496,100
1539,258,100
1540,1593,100
1541,230,100
1542,469,100
1543,1586,100
1544,645,100
1545,1138,100
1546,205,100
1547,1772,100
1548,727,100
1549,193,99
1550,1580,99
1551,1354,99
1552,955,99
1553,1903,99
1554,853,99
1555,584,99
1556,173,99
1557,37,98
1558,526,98
1559,615,98
1560,1285,98
1561,100,98
1562,630,98
1563,731,98
1564,362,98
1565,778,98
1566,186,98
1567,1165,98
1568,568,98
1569,1102,98
1570,991,98
1571,67,97
1572,1464,97
1573,1497,97
1574,237,97
1575,988,97
1576,1953,97
1577,740,97
1578,750,97
1579,408,97
1580,437,97
1581,225,97
1582,883,97
1583,961,97
1584,1382,97
1585,945,97
1586,1823,97
1587,1026,96
1588,1825,96
1589,1305,96
1590,123,96
1591,1033,96
1592,1105,96
1593,1404,96
1594,87,96
1595,342,96
1596,1605,96
1597,1535,96
1598,2043,96
1599,1813,96
1600,1088,96
1601,994,96
1602,1589,95
1603,270,95
1604,1435,95
1605,1401,95
1606,1622,95
1607,1574,95
1608,407,95
1609,569,95
1610,707,95
1611,1321,95
1612,316,95
1613,1467,95
1614,395,95
1615,57,94
1616,288,94
1617,1913,94
1618,1094,94
1619,1332,94
1620,1095,94
1621,1890,94
1622,1197,94
1623,925,94
1624,969,94
1625,507,94
1626,733,94
1627,1251,94
1628,199,93
1629,450,93
1630,1777,93
1631,1079,93
1632,1211,93
1633,52,93
1634,1174,92
1635,1441,92
1636,109,92
1637,702,92
1638,1343,92
1639,155,92
1640,1747,92
1641,434,91
1642,1064,91
1643,1795,91
1644,1007,91
1645,1552,91
1646,1606,91
1647,159,91
1648,344,91
1649,1941,91
1650,1902,91
1651,845,90
1652,1028,90
1653,240,90
1654,1030,90
1655,328,90
1656,1312,90
1657,91,90
1658,1716,90
1659,559,89
1660,1977,89
1661,1807,89
1662,1157,89
1663,1640,89
1664,151,89
1665,637,89
1666,1616,89
1667,694,89
1668,1322,89
1669,1780,89
1670,1436,89
1671,1808,89
1672,1250,89
1673,1653,88
1674,1964,88
1675,1740,88
1676,1684,88
1677,828,88
1678,430,88
1679,720,88
1680,480,88
1681,1193,88
1682,585,88
1683,1675,88
