Molecule ID,AB,,AC,,AD,,AE,
,Bit (-1),Frequency (-1),Bit (-1),Frequency (-1),Bit (-1),Frequency (-1),Bit (-1),Frequency (-1)
1260,1261,76517,1261,2544,1261,2552,1261,272
332,333,76049,333,1920,333,1917,333,237
1697,1698,75785,1698,2536,1698,2548,1698,328
1850,1851,75710,1851,1917,1851,1929,1851,237
1981,1982,75591,1982,2540,1982,2536,1982,324
498,499,75354,499,4396,499,4291,499,567
2005,2006,75284,2006,3090,2006,3095,2006,400
1731,1732,75231,1732,1857,1732,1875,1732,225
1677,1678,75152,1678,4438,1678,4459,1678,553
769,770,75126,770,1256,770,1252,770,154
1478,1479,75052,1479,4256,1479,4305,1479,574
919,920,74936,920,2436,920,2464,920,324
788,789,74703,789,1869,789,1773,789,240
1761,1762,74693,1762,1875,1762,1896,1762,240
1805,1806,74635,1806,3140,1806,3160,1806,400
905,906,74222,906,4263,906,4333,906,455
1925,1926,73472,1926,2452,1926,2420,1926,316
400,401,73416,401,2464,401,2428,401,300
1705,1706,73357,1706,2492,1706,2496,1706,328
619,620,73224,620,1932,620,1944,620,249
1597,1598,73074,1598,4944,1598,4992,1598,592
37,38,72270,38,5562,38,5706,38,612
1111,1112,72036,1112,3200,1112,3250,1112,410
1708,1709,71722,1709,3702,1709,3738,1709,486
1052,1053,71656,1053,4410,1053,4403,1053,574
792,793,71020,793,3170,793,3110,793,410
718,719,70727,719,3090,719,3135,719,390
770,771,70513,771,2456,771,2448,771,300
1554,1555,70455,1555,2512,1555,2508,1555,332
552,553,70406,553,1878,553,1860,553,222
933,934,70224,934,5553,934,5598,934,693
116,117,70200,117,4368,117,4361,117,532
900,901,70192,901,1869,901,1908,901,246
826,827,69978,827,2520,827,2516,827,324
1102,1103,69960,1103,4277,1103,4277,1103,518
870,871,69854,871,2548,871,2520,871,316
1921,1922,69642,1922,4424,1922,4487,1922,525
812,813,69628,813,3852,813,3804,813,498
466,467,69112,467,2488,467,2544,467,320
1978,1979,68801,1979,3756,1979,3732,1979,456
692,693,68646,693,0,693,0,693,0
497,498,68495,498,3120,498,3130,498,410
727,728,68328,728,5072,728,5144,728,600
937,938,68175,938,3750,938,3738,938,498
1016,1017,68074,1017,1908,1017,1899,1017,243
1269,1270,68034,1270,3165,1270,3180,1270,385
564,565,67774,565,2472,565,2520,565,320
313,314,67734,314,3130,314,3145,314,405
941,942,67266,942,1893,942,1905,942,246
1753,1754,67259,1754,3125,1754,3075,1754,410
1881,1882,67200,1882,2596,1882,2588,1882,332
1888,1889,67089,1889,4896,1889,4944,1889,648
1149,1150,67000,1150,638,1150,636,1150,83
1263,1264,66963,1264,3160,1264,3135,1264,405
230,231,66950,231,1851,231,1863,231,228
1442,1443,66761,1443,1248,1443,1278,1443,136
1277,1278,66761,1278,1857,1278,1872,1278,231
265,266,66504,266,3170,266,3215,266,400
1232,1233,66346,1233,1276,1233,1294,1233,158
974,975,66248,975,3744,975,3792,975,486
357,358,66132,358,2532,358,2544,358,332
132,133,66033,133,635,133,635,133,81
19,20,65954,20,5553,20,5598,20,702
1836,1837,65892,1837,1815,1837,1851,1837,213
715,716,65758,716,1270,716,1278,716,162
1393,1394,65736,1394,3774,1394,3810,1394,480
1742,1743,65650,1743,4312,1743,4256,1743,567
861,862,65600,862,1818,862,1926,862,243
1050,1051,65464,1051,3110,1051,3095,1051,405
1354,1355,65241,1355,1899,1355,1920,1355,240
2016,2017,65091,2017,2310,2017,2450,2017,630
1956,1957,65072,1957,3744,1957,3750,1957,498
1135,1136,64992,1136,3205,1136,3195,1136,405
199,200,64778,200,1911,200,1917,200,243
1363,1364,64320,1364,4944,1364,5128,1364,600
539,540,64224,540,1917,540,1902,540,246
1451,1452,63935,1452,2548,1452,2552,1452,332
1905,1906,63840,1906,3798,1906,3834,1906,456
1672,1673,63826,1673,3170,1673,3225,1673,395
1637,1638,63745,1638,1917,1638,1926,1638,249
986,987,63657,987,3714,987,3696,987,462
1328,1329,63519,1329,645,1329,648,1329,81
2017,2018,63360,2018,3738,2018,3750,2018,480
1392,1393,63147,1393,3245,1393,3230,1393,410
550,551,62886,551,2512,551,2396,551,328
1270,1271,62682,1271,3155,1271,3195,1271,410
426,427,62605,427,3798,427,3834,427,444
819,820,62496,820,4382,820,4445,820,581
648,649,62304,649,0,649,0,649,0
1002,1003,62274,1003,1845,1003,1875,1003,246
241,242,62008,242,1276,242,1292,242,162
1937,1938,61516,1938,1890,1938,1902,1938,243
316,317,61364,317,4396,317,4368,317,497
1123,1124,61334,1124,1878,1124,1893,1124,243
1781,1782,61180,1782,2496,1782,2532,1782,312
431,432,61088,432,4403,432,4270,432,574
1767,1768,60788,1768,1920,1768,1905,1768,249
549,550,60697,550,4417,550,4333,550,567
1552,1553,60570,1553,1274,1553,1270,1553,162
665,666,60352,666,2428,666,2464,666,320
1796,1797,60300,1797,3170,1797,3105,1797,405
898,899,60151,899,1890,899,1908,899,192
73,74,60104,74,3170,74,3245,74,410
1684,1685,60075,1685,3828,1685,3852,1685,486
800,801,60075,801,2556,801,2556,801,328
